air_store_id,Model_No.,Selected_Model,Training_R2,Testing_R2,RMSLE
air_eca5e0064dc9314a,model_5,"Regression with ARIMA(0,0,0)(0,0,1)[7] errors",0.336363389,0.67270805,0.450911851
air_722297e7f26db91d,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.709202988,0.649914734,0.453277805
air_45326ebb8dc72cfb,model_3,l_train ~ log_reserves + closed_days + mon_thurs + friday + saturday,0.878655525,0.787728244,0.453358031
air_48f4da6223571da4,model_3,l_train ~ log_reserves + closed_days + mon_thurs + friday + saturday,0.582264928,0.738925025,0.453592118
air_938ef91ecdde6878,model_5,"Regression with ARIMA(0,1,1) errors",0.758023806,0.889988453,0.45414821
air_c4fa5c562d5409ca,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.744471872,0.818880685,0.454674494
air_bebd55ed63ab2422,model_3,l_train ~ log_reserves + closed_days + mon_thurs + friday + saturday,0.671439564,0.792926658,0.454737217
air_6c952e3c6e590945,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.453579956,0.103111908,0.455133455
air_5e70fe82f9e4fab6,model_3,l_train ~ log_reserves + closed_days + mon_thurs + friday + saturday,0.659803318,0.863058712,0.455430711
air_754ae581ad80cc9f,model_3,l_train ~ log_reserves + closed_days + mon_thurs + friday + saturday,0.697301631,0.848738766,0.455903505
air_08ba8cd01b3ba010,model_1,"ETS(A,N,A)",0.443702957,0.604856236,0.456443177
air_75bd5d1b6dc6670d,model_1,"ETS(A,N,A)",0.282812725,0.367329916,0.456735145
air_ba495cccc8f0f237,model_1,"ETS(A,N,A)",0.334229578,0.406118724,0.457257567
air_fdcfef8bd859f650,model_3,l_train ~ closed_days + mon_thurs + friday + saturday,0.807376245,0.214747776,0.457530718
air_232dcee6f7c51d37,model_5,"Regression with ARIMA(0,1,1) errors",0.268879165,0.148944017,0.457949593
air_3bd49f98ab7f36ab,model_2,"STL +  ETS(M,N,N)",NA for STL,0.541881177,0.458661261
air_a55d17bd3f3033cb,model_5,"Regression with ARIMA(0,0,0) errors",0.301948247,0.724492016,0.459022165
air_bd74a9222edfdfe1,model_1,"ETS(A,N,A)",0.365513097,0.326603989,0.459303742
air_28064154614b2e6c,model_3,l_train ~ log_reserves + closed_days + mon_thurs + friday + saturday,0.305547651,0.508416816,0.459436398
air_931a8a4321b6e7d1,model_5,"Regression with ARIMA(1,0,0) errors",0.711908711,0.711579569,0.4597775
